,,LUCAS spade sampling method,,,,,,,,,,,,Gouge auger sampling method,,,,,,,,,,,,,
"Sampling
locatgion",Land cover,Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",,
32,cropland,53063,30,47,23,21.3,20,2.6,19.8,107.3,7.9,7.5,19.9,53223,30,47,23,21.4,24,2.9,15.6,101.3,7.66,7.3,20.2,,
33,cropland,53077,23,43,34,13.3,0,4,49.1,161.4,7.26,7,15.6,53237,24,40,36,12.1,0,1.9,46.4,129.8,6.85,6.6,15.4,,
34,cropland,53094,32,48,20,26.2,0,3.3,27.7,214.4,7.46,7.2,35.5,53254,33,47,21,25.4,13,3.3,27.4,170.5,7.44,7.1,32.8,,
35,cropland,53099,19,55,26,34.5,18,4.1,27.9,138.9,7.17,6.9,52.1,53259,20,58,23,35.1,1,4.3,26.5,102.2,6.64,6.4,42.6,,
36,cropland,53104,24,62,14,42.5,12,2.7,33,121.6,7.81,7.4,26.6,53264,24,61,15,33.8,85,2.7,29.3,88.3,7.31,7.2,17.4,,
37,cropland,53114,22,56,22,29.3,8,3.6,32.8,105.7,7.32,7.1,30.2,53274,22,54,24,32.6,3,4.1,54.7,92.9,7.03,6.8,22.9,,
38,cropland,53122,22,47,31,18.7,0,2.1,49.8,165.1,5.52,5.1,17.5,53282,22,47,30,18.1,0,2.1,58,128,5.35,5,22.4,,
39,cropland,53128,22,63,15,22.6,0,2.5,38.5,189.6,6.77,6.5,23.9,53288,22,65,13,21.4,0,2.5,38.2,190.9,6.44,6.2,21.4,,
40,cropland,53140,19,54,27,29.1,1,3.2,56.7,234.5,6.43,6.2,43.6,53300,20,56,24,27.7,4,3.2,66.8,178.3,6.57,6.3,43.7,,
41,cropland,53144,30,54,15,26,0,3.3,60.6,145.9,6.65,6.4,26.7,53304,31,53,16,25.5,0,3.3,65.5,125.7,6.63,6.3,29.4,,
42,cropland,53149,34,48,17,27.4,2,3.4,60,385.2,7.16,6.9,39.8,53309,34,49,17,29.2,3,3.7,69.6,354,7.02,6.8,41,,
43,cropland,53153,32,53,15,29.1,154,2.2,87.6,224.9,7.85,7.4,28.2,53313,31,51,18,29.5,150,2.2,82.6,185.3,7.7,7.3,25.6,,
44,cropland,53154,22,48,29,23.8,190,2.6,58.5,225.5,7.79,7.5,30.5,53314,22,48,30,25.5,186,2.8,64.2,231.2,7.63,7.1,31.2,,
45,cropland,53158,25,36,39,17.9,36,2,40.9,181.8,7.82,7.4,23.2,53318,24,32,44,18.4,10,1.9,37.9,149.8,7.71,7.3,22.1,,
46,cropland,53159,18,46,36,23.6,11,2.9,99.8,330.6,7.45,7.2,40.8,53319,19,43,37,26.4,10,3.3,97,363.2,7.25,7,37.6,,
47,deciduous forest,53003,7,32,61,41.4,0,3.1,32.5,73.3,4.51,4,21.8,53163,8,36,56,40.4,0,2.8,27.7,61.4,4.43,4.1,30.1,,
48,deciduous forest,53005,10,54,36,67.5,236,3.7,19.9,64.7,7.62,7.2,18.4,53165,11,62,27,75,115,4.4,21.5,90.8,7.17,6.9,24.7,,
49,deciduous forest,53010,21,56,23,123.7,99,7.9,32,140.9,7.35,7.1,44.2,53170,21,59,20,123.1,162,8.2,19.2,182.2,7.07,7,48.1,,
50,deciduous forest,53012,4,27,69,38.4,0,3.2,37.9,101.6,4.73,4.4,31.5,53172,4,25,71,42.5,1,3.6,56.4,116.4,4.61,4.3,35.7,,
51,deciduous forest,53017,7,44,49,150.1,1,10.1,44.7,119.3,4.11,3.8,48.8,53177,9,55,37,147.2,0,10.3,52.5,141.8,4.00,3.7,54.2,,
52,deciduous forest,53050,11,49,40,31.7,93,3.1,10.5,89.9,7.44,7.1,26.5,53210,12,51,37,24.3,95,2.6,7.6,80.6,7.23,7.1,28.5,,
53,deciduous forest,53052,14,44,42,31.1,49,3.1,33.7,113.4,7.61,7.3,43.3,53212,14,46,40,32.3,42,3.5,47.1,97.8,7.08,7,58.1,,
54,deciduous forest,53055,13,38,49,51.7,405,2.6,17.8,105.5,7.55,7.3,45.1,53215,12,36,52,33.5,421,2.8,15.5,84.2,7.35,7,42.6,,
55,deciduous forest,53069,32,53,16,27.3,0,2.7,0,92.7,5.1,4.5,7.3,53229,34,48,18,18.1,0,2,0,99.1,5.07,4.5,6.6,,
56,deciduous forest,53070,11,59,30,53.5,775,4.9,12.1,61.7,7.58,7.3,42.1,53230,10,58,32,55.4,800,5.5,13.6,55.8,7.45,7.1,55.8,,
57,deciduous forest,53075,21,47,32,50.2,0,3.5,12.8,90.2,4.52,4,11.5,53235,25,44,31,45.6,0,3.8,16.3,59.6,4.6,4,11.4,,
